Team Name,Team Year,Team Wins,Team Losses
MinnesotaWild,2011,35,36
MontrealCanadiens,2011,31,35
NashvillePredators,2011,48,26
NewJerseyDevils,2011,48,28
NewYorkIslanders,2011,34,37
NewYorkRangers,2011,51,24
OttawaSenators,2011,41,31
PhiladelphiaFlyers,2011,47,26
PhoenixCoyotes,2011,42,27
PittsburghPenguins,2011,51,25
